#MP_Number	CNL	EG	EFermi	ValenceMax	CondMin	ENegDiff	Formula	Cost
569677	1.8483080000000003	3.3286160000000002	-1.8143080000000005	-1.8483080000000003	1.480308	2.09	b'Sr2IN'	2.0963718820861676
569707	1.657734	3.192468	-1.6267340000000001	-1.6577340000000003	1.5347339999999994	0.94	b'BiSeBr'	60.333333333333336
569708	0.07551400000000003	0.456028	-0.33251399999999975	-0.07551400000000008	0.3805139999999998	0.7399999999999998	b'TiPt3'	810.8109623259622
569713	-0.30885000000000007	0.20529999999999993	-0.5171500000000009	0.3088499999999996	0.514149999999999	0.5499999999999998	b'La(AlZn)2'	0.054752610645987326
569743	0.23243800000000003	0.6258760000000001	-0.30243800000000043	-0.23243800000000014	0.3944379999999992	0.48	b'Ti4MnBi2'	80.00151515151515
569764	2.346854	3.704708	-2.207854	-2.346854	1.3578540000000006	1.8400000000000003	b'RbCu2I3'	6.168527410964385
569766	0.842084	1.878168	-0.7990839999999997	-0.8420839999999998	1.0360840000000007	0.56	b'TeI'	1002.0408163265306
569779	0.35087199999999996	1.287744	-0.27287199999999956	-0.35087199999999985	0.936872000000001	0.8400000000000001	b'ScSbPd'	163.76862026862028
569794	0.27852600000000005	0.6420520000000001	-0.474526	-0.2785260000000003	0.3645259999999997	0.0	b'Ta'	0.5882352941176471
569807	-0.778726	0.779548	0.639726	0.7787259999999998	1.558274	2.14	b'RbTiBr3'	1.0168181818181818
569812	3.388898	6.408796000000001	-3.376898	-3.388898	3.0198980000000004	2.27	b'BaN3Cl'	0.1588235294117647
569813	0.6755680000000001	1.293136	-0.6415680000000004	-0.6755680000000002	0.6175680000000003	0.32000000000000006	b'In5AgTe8'	8043.75
569814	2.227656	4.679312	-2.154656	-2.227656	2.4516560000000003	1.42	b'TiBr4'	1.3334848484848485
569815	0.568318	1.461636	-0.5273179999999993	-0.5683179999999997	0.8923180000000013	0.30000000000000027	b'Si2Ru'	1000.0000074074075
569842	-0.029000000000000026	1.25	0.08099999999999996	0.028999999999999915	1.2790000000000004	1.77	b'Ba3SiI2'	4.090459886176693
569843	2.6295780000000004	4.818156	-2.5335780000000003	-2.6295780000000004	2.1885780000000006	1.41	b'MnBr2'	0.6675757575757575
569853	0.12170000000000003	1.3174000000000001	-0.10570000000000013	-0.12170000000000014	1.1957	2.17	b'CsNb4Br11'	4.428276573787409
569854	1.6808740000000002	3.3407480000000005	-1.6148740000000001	-1.6808740000000002	1.659874	1.35	b'Ga3Bi5Cl12'	200.22848297213622
569862	1.6191020000000003	2.8312040000000005	-1.5921020000000001	-1.6191020000000003	1.2121020000000002	1.73	b'Rb4P2Se9'	180.06866666666667
569867	0.638706	1.410412	-0.5157059999999998	-0.638706	0.7717060000000009	1.24	b'SrP3'	0.0057777777777777775
569885	-0.282508	0.788984	0.23850799999999994	0.282508	1.071492	2.37	b'Cs2TaCl6'	1.6761609907120743
569890	1.5841480000000001	2.870296	-1.4911480000000001	-1.5841480000000001	1.2861480000000003	1.5000000000000002	b'CrCl3'	0.024789915966386553
569894	0.49105200000000004	0.7081040000000001	0.13394800000000018	-0.4910519999999998	0.2170519999999998	2.06	b'La4B4Cl5'	0.6068289384719405
569935	0.08346999999999999	0.44794000000000006	-0.006470000000000198	-0.08347000000000016	0.3654699999999984	1.94	b'La3(BN2)2'	0.5181203515889115
569940	1.163678	0.976356	-1.1536780000000002	-1.163678	-0.1883220000000001	1.2000000000000002	b'K3Bi'	40.0002
569943	2.811506	4.376012	-2.792506	-2.811506	1.5645060000000002	1.8400000000000003	b'K2AgI3'	18.62258231292517
569952	2.6395480000000004	3.6790960000000004	-2.4215480000000005	-2.6395480000000004	1.039548	2.3400000000000003	b'K2CuCl3'	0.03248627450980392
569964	2.533098	4.117196	-2.517098	-2.533098	1.584098	0.9700000000000002	b'CdI2'	10.748299319727892
569978	-0.395158	1.4966840000000001	0.5011579999999998	0.3951579999999999	1.8928419999999995	2.23	b'Na2Ti3Cl8'	0.04760032550569635
569989	0.157672	0.20934399999999997	-0.5576720000000002	-0.1576719999999998	0.05167199999999994	0.9499999999999997	b'Nb2C'	0.11820261437908497
569994	2.527314	4.0956280000000005	-2.523314	-2.5273139999999996	1.568314	0.9700000000000002	b'CdI2'	10.748299319727892
570000	1.33298	2.28796	-1.2119799999999998	-1.3329799999999998	0.95398	2.14	b'K3Mo2Br9'	4.818381818181818
